Date,MainThermostat_Set_F,Notes
2020-01-01,71,Placeholder baseline - exact thermostat history before this project began (July 2026) is unknown; assumed 71F back to this date for lack of better info
2025-11-01,68,Normal winter heating setpoint (Nov 1 - ~Apr 20 each year)
2026-04-21,71,Reverts to normal summer AC setpoint after winter heating season ends
2026-06-28,72,"Central AC bumped 71->72F; window AC (upstairs bedroom) switched from a flat 71F to a 2-part daily schedule: 75F from 1am-1pm, 72F from 1pm-1am - heat wave cost-saving experiment"
2026-07-03,72,"Window AC (upstairs bedroom) changed from the 75F(1am-1pm)/72F(1pm-1am) schedule to a flat 73F all day - new test, central AC unchanged at 72F"
2026-07-04,71,"Heat wave test week ended - storm broke the heat. Window AC unplugged from the EcoFlow Delta 3 test rig and returned to normal grid power (the Delta 3 real-wattage test concluded with the full 24hr measurement from 7/3-7/4, 172W avg). Central AC and window AC both lowered from 72F/73F to 71F to cool down post-heat-wave; user noted this is likely temporary and may raise it again later that night. Delta 3 being charged to 100% in case of a storm-related power outage."
2026-07-19,73,"Family (wife + kids) left for vacation 7/19; house unoccupied most weekdays (user at work most of the day) through the planned return around 7/23. Three changes together this week: (1) Central AC bumped 71->73F since the house is mostly empty. (2) Daughter's upstairs bedroom window AC turned off entirely (that room gets a lot of afternoon sun and the AC runs a fair amount when she's using it) and the blinds closed to cut solar heat gain instead. (3) Forecast is milder this week, no heat wave - so any savings/cost delta vs. the model reflects settings + occupancy, not just weather. Expect the actual/model gap to be larger than a normal week for these reasons."
2026-07-22,73,"Bathroom window (upstairs) opened ~midday 7/22 and left open ~24h with the upstairs window AC still off; central AC unchanged at 73F. Passive free-cooling: outdoor fell to 62F overnight 7/22, yet the bedroom held a steady low-70s with no AC. Notable sensor fingerprint - the two bedroom sensors (Aqara vs HomePod), which normally differ ~4-5F (up to +8.6F) under active AC stratification, converged to nearly identical readings (both ~72.7F by 7/23 13:30) as the room cooled evenly through the open window instead of the AC."
2026-07-24,73,"Family returned from vacation the evening of 7/23 (~7pm) - 7/24 and 7/25 were full-house, everyone-home days. Oldest daughter's upstairs window AC was turned back on the moment everyone returned (it was only ever off during the 7/19-23 vacation week while she herself was away) and has stayed on since. Central AC unchanged at 73F. This period isolates 'full occupancy, central AC at 73F, daughter's window AC back on' - distinct from both the empty-house week before it and the partial band-camp week after it."
2026-07-26,73,"Wife + middle daughter left early 7/26 for band camp, planned return 7/31 - partial-occupancy week (2 fewer people than a full house, user + remaining kids still home most days). AC settings unchanged from the prior period: central at 73F, oldest daughter's upstairs window AC still on (it has run continuously since returning from vacation on 7/23 - this band-camp absence doesn't affect her or her AC)."
2026-08-01,73,"Wife + middle daughter returned from band camp 7/31; everyone home as of 8/1, back to full occupancy. Central AC and oldest daughter's window AC unchanged at 73F (no explicit revert to 71F mentioned) - this marks the end of the vacation/band-camp stretch (7/19-7/31) and a return to normal full-house life at the current settings."
